,season,city,team1,team2
220,2010,Mumbai,Mumbai Indians,Delhi Daredevils
221,2010,Chennai,Kolkata Knight Riders,Chennai Super Kings
222,2010,Jaipur,Rajasthan Royals,Royal Challengers Bangalore
223,2010,Chennai,Chennai Super Kings,Delhi Daredevils
224,2010,Dharamsala,Kings XI Punjab,Deccan Chargers
225,2010,Bangalore,Mumbai Indians,Royal Challengers Bangalore
226,2010,Kolkata,Rajasthan Royals,Kolkata Knight Riders
227,2010,Dharamsala,Kings XI Punjab,Chennai Super Kings
228,2010,Delhi,Deccan Chargers,Delhi Daredevils
229,2010,Kolkata,Mumbai Indians,Kolkata Knight Riders
230,2010,Mumbai,Mumbai Indians,Royal Challengers Bangalore
231,2010,Mumbai,Chennai Super Kings,Deccan Chargers
232,2010,Mumbai,Deccan Chargers,Royal Challengers Bangalore
233,2010,Mumbai,Chennai Super Kings,Mumbai Indians
234,2011,Chennai,Chennai Super Kings,Kolkata Knight Riders
235,2011,Hyderabad,Deccan Chargers,Rajasthan Royals
236,2011,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore
237,2011,Delhi,Delhi Daredevils,Mumbai Indians
238,2011,Mumbai,Kings XI Punjab,Pune Warriors
239,2011,Kolkata,Kolkata Knight Riders,Deccan Chargers
240,2011,Jaipur,Delhi Daredevils,Rajasthan Royals
241,2011,Bangalore,Royal Challengers Bangalore,Mumbai Indians
242,2011,Chandigarh,Chennai Super Kings,Kings XI Punjab
243,2011,Mumbai,Kochi Tuskers Kerala,Pune Warriors
244,2011,Hyderabad,Deccan Chargers,Royal Challengers Bangalore
245,2011,Jaipur,Rajasthan Royals,Kolkata Knight Riders
246,2011,Mumbai,Mumbai Indians,Kochi Tuskers Kerala
247,2011,Chennai,Chennai Super Kings,Royal Challengers Bangalore
248,2011,Hyderabad,Deccan Chargers,Kings XI Punjab
249,2011,Mumbai,Pune Warriors,Delhi Daredevils
250,2011,Kolkata,Rajasthan Royals,Kolkata Knight Riders
252,2011,Delhi,Deccan Chargers,Delhi Daredevils
253,2011,Mumbai,Pune Warriors,Mumbai Indians
254,2011,Kolkata,Kochi Tuskers Kerala,Kolkata Knight Riders
255,2011,Chandigarh,Kings XI Punjab,Rajasthan Royals
256,2011,Mumbai,Mumbai Indians,Chennai Super Kings
257,2011,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
258,2011,Delhi,Delhi Daredevils,Kings XI Punjab
259,2011,Hyderabad,Mumbai Indians,Deccan Chargers
260,2011,Jaipur,Kochi Tuskers Kerala,Rajasthan Royals
261,2011,Chennai,Chennai Super Kings,Pune Warriors
262,2011,Delhi,Delhi Daredevils,Royal Challengers Bangalore
263,2011,Mumbai,Pune Warriors,Chennai Super Kings
264,2011,Kochi,Deccan Chargers,Kochi Tuskers Kerala
265,2011,Delhi,Kolkata Knight Riders,Delhi Daredevils
266,2011,Jaipur,Mumbai Indians,Rajasthan Royals
267,2011,Bangalore,Royal Challengers Bangalore,Pune Warriors
268,2011,Kochi,Delhi Daredevils,Kochi Tuskers Kerala
269,2011,Kolkata,Kings XI Punjab,Kolkata Knight Riders
270,2011,Jaipur,Pune Warriors,Rajasthan Royals
271,2011,Chennai,Chennai Super Kings,Deccan Chargers
272,2011,Mumbai,Mumbai Indians,Kings XI Punjab
273,2011,Delhi,Delhi Daredevils,Kochi Tuskers Kerala
274,2011,Hyderabad,Kolkata Knight Riders,Deccan Chargers
275,2011,Chennai,Rajasthan Royals,Chennai Super Kings
276,2011,Mumbai,Mumbai Indians,Pune Warriors
277,2011,Kochi,Kochi Tuskers Kerala,Kolkata Knight Riders
278,2011,Hyderabad,Deccan Chargers,Delhi Daredevils
279,2011,Bangalore,Royal Challengers Bangalore,Kings XI Punjab
281,2011,Mumbai,Mumbai Indians,Delhi Daredevils
