,season,city,team1,team2,venue
340,2012,Pune,Deccan Chargers,Pune Warriors,Subrata Roy Sahara Stadium
341,2012,Delhi,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla
342,2012,Chennai,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
343,2012,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens
344,2012,Delhi,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla
345,2012,Mumbai,Deccan Chargers,Mumbai Indians,Wankhede Stadium
346,2012,Chennai,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
347,2012,Cuttack,Deccan Chargers,Pune Warriors,Barabati Stadium
348,2012,Jaipur,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium
349,2012,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium
350,2012,Pune,Mumbai Indians,Pune Warriors,Subrata Roy Sahara Stadium
351,2012,Chennai,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk"
352,2012,Kolkata,Kolkata Knight Riders,Pune Warriors,Eden Gardens
353,2012,Chandigarh,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
354,2012,Mumbai,Chennai Super Kings,Mumbai Indians,Wankhede Stadium
355,2012,Bangalore,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium
356,2012,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla
357,2012,Pune,Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium
358,2012,Hyderabad,Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
359,2012,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium
360,2012,Jaipur,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium
361,2012,Pune,Royal Challengers Bangalore,Pune Warriors,Subrata Roy Sahara Stadium
362,2012,Kolkata,Mumbai Indians,Kolkata Knight Riders,Eden Gardens
363,2012,Chennai,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
364,2012,Jaipur,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium
365,2012,Chandigarh,Deccan Chargers,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
